Month,Median Housing Price,MSACR,Mortgage Rate
2/29/2008,195000,10.5,5.85
3/31/2008,198425,10.3,6.03
4/30/2008,197400,10.7,6.08
5/31/2008,199000,10.7,6.45
6/30/2008,204000,10.5,6.52
7/31/2008,202000,11.3,6.4
8/31/2008,200000,10.9,6.09
9/30/2008,192085,11.6,6.46
10/31/2008,190000,11.4,5.97
11/30/2008,187000,11.2,5.1
12/31/2008,185500,12.2,5.1
1/31/2009,178960,10.5,5.07
2/28/2009,175000,11,4.85
3/31/2009,175000,10.7,4.78
4/30/2009,174123,9.3,4.91
5/31/2009,178900,8.5,5.42
6/30/2009,185000,7.9,5.25
7/31/2009,184900,7.5,5.14
8/31/2009,183000,7.8,5.04
9/30/2009,177000,7.4,5.03
10/31/2009,175000,7.6,4.78
11/30/2009,175000,8,5.14
12/31/2009,179000,8.1,4.98
1/31/2010,176000,8.3,5.05
2/28/2010,170000,7.1,4.99
3/31/2010,175000,6.2,5.06
4/30/2010,171000,9.3,4.78
5/31/2010,175000,8.3,4.69
6/30/2010,182000,8.9,4.54
7/31/2010,187500,8.8,4.36
8/31/2010,185000,7.6,4.32
9/30/2010,180000,8.2,4.23
10/31/2010,177000,8.2,4.4
11/30/2010,177000,7,4.86
12/31/2010,179900,7.3,4.8
1/31/2011,170000,8.1,4.95
2/28/2011,169500,7.2,4.86
3/31/2011,168000,6.7,4.78
4/30/2011,169000,6.6,4.6
5/31/2011,172000,6.6,4.51
6/30/2011,179000,6.7,4.55
7/31/2011,177400,6.5,4.22
8/31/2011,175000,6.3,4.01
9/30/2011,170000,6,4.1
10/31/2011,167000,5.7,3.98
11/30/2011,168000,5.3,3.95
12/31/2011,169000,5.3,3.98
1/31/2012,161850,4.8,3.95
2/29/2012,160000,4.9,3.99
3/31/2012,166500,4.9,3.88
4/30/2012,172500,4.7,3.75
5/31/2012,178000,4.8,3.66
6/30/2012,185600,4.6,3.49
7/31/2012,185000,4.6,3.59
8/31/2012,184500,4.5,3.4
9/30/2012,179900,4.9,3.41
10/31/2012,178000,4.6,3.32
11/30/2012,181800,4.5,3.35
12/31/2012,185000,4,3.53
1/31/2013,175000,4.1,3.51
2/28/2013,175000,4.2,3.57
3/31/2013,183500,4.4,3.4
4/30/2013,187000,4.6,3.81
5/31/2013,195000,4.1,4.46
6/30/2013,205000,5.5,4.31
7/31/2013,205000,5.5,4.51
8/31/2013,203000,5.4,4.32
9/30/2013,197000,4.9,4.1
10/31/2013,196000,5,4.29
11/30/2013,194000,5.2,4.48
12/31/2013,200000,5.1,4.32
1/31/2014,190000,5.3,4.37
2/28/2014,189900,5.6,4.4
3/31/2014,195000,5.7,4.33
4/30/2014,198000,5.2,4.12
5/31/2014,204000,5.7,4.14
6/30/2014,210255,6.2,4.12
7/31/2014,210000,5.4,4.1
8/31/2014,210000,5.4,4.2
9/30/2014,203000,5.3,3.98
10/31/2014,200000,5.7,3.97
11/30/2014,204900,5.1,3.87
12/31/2014,207900,4.8,3.66
1/31/2015,200000,4.5,3.8
2/28/2015,200000,5.1,3.69
3/31/2015,207000,4.9,3.68
4/30/2015,210000,5,3.87
5/31/2015,217500,5.4,4.02
6/30/2015,223000,5.2,3.98
7/31/2015,220500,5,3.84
8/31/2015,218500,5.9,3.86
9/30/2015,215000,5.6,3.76
10/31/2015,211406,5.5,3.95
11/30/2015,215000,5.1,4.01
12/31/2015,220000,5.6,3.79
1/31/2016,210000,5.6,3.62
2/29/2016,208000,5.5,3.71
3/31/2016,215000,5.1,3.66
4/30/2016,219783,5.2,3.64
5/31/2016,225000,5.2,3.48
6/30/2016,230000,4.5,3.48
7/31/2016,229000,4.9,3.43
8/31/2016,228000,5.2,3.42
9/30/2016,225000,5.1,3.47
10/31/2016,225000,5.2,4.03
11/30/2016,226000,5.4,4.32
12/31/2016,229000,5.3,4.19
1/31/2017,222000,5.2,4.16
2/28/2017,222000,5,4.14
3/31/2017,227000,5.5,4.03
4/30/2017,231995,5.3,3.95
5/31/2017,235000,5.3,3.88
6/30/2017,245000,5.9,3.92
7/31/2017,240000,6,3.82
8/31/2017,240000,5.3,3.83
9/30/2017,237981,5.5,3.94
10/31/2017,235000,4.9,3.9
11/30/2017,237943,5.4,3.99
12/31/2017,240000,5.6,4.15
1/31/2018,235000,5.6,4.4
2/28/2018,238000,5.4,4.44
3/31/2018,243000,5.7,4.58
4/30/2018,245000,5.5,4.56
5/31/2018,249500,6.1,4.55
6/30/2018,255000,6.1,4.54
7/31/2018,250000,6.4,4.52
8/31/2018,249900,6.5,4.72
9/30/2018,245000,7.2,4.86
10/31/2018,244000,6.5,4.81
11/30/2018,245500,7.4,4.55
12/31/2018,248000,6.5,4.46
1/31/2019,243000,6.1,4.35
2/28/2019,242500,5.8,4.06
3/31/2019,250000,6.1,4.2
4/30/2019,253000,6.7,3.99
5/31/2019,260000,5.5,3.73
6/30/2019,265000,6,3.75
7/31/2019,262500,5.5,3.58
8/31/2019,260000,5.3,3.64
9/30/2019,256000,5.5,3.78
10/31/2019,255500,5.6,3.68
11/30/2019,258000,5.3,3.74
12/31/2019,260000,5,3.51
1/31/2020,254000,5.5,3.45
2/29/2020,259900,6.5,3.5
3/31/2020,265000,6.8,3.23
4/30/2020,267000,5.3,3.15
5/31/2020,264820,4.3,3.13
6/30/2020,272500,3.6,2.99
7/31/2020,284000,3.4,2.91
8/31/2020,285500,3.6,2.9
